rank,surface,count,share,cum_share,tags
886,아두,5,8.0832196563209e-07,0.9997904829465082,
887,아아,5,8.0832196563209e-07,0.9997912912684738,
888,은즉,5,8.0832196563209e-07,0.9997920995904395,
889,문서,5,8.0832196563209e-07,0.999792907912405,
890,누나,5,8.0832196563209e-07,0.9997937162343707,
891,드니,5,8.0832196563209e-07,0.9997945245563363,
892,으소서,5,8.0832196563209e-07,0.9997953328783019,
893,아든,5,8.0832196563209e-07,0.9997961412002676,
894,소만,5,8.0832196563209e-07,0.9997969495222332,
895,러라,5,8.0832196563209e-07,0.9997977578441989,
896,으마,5,8.0832196563209e-07,0.9997985661661645,
897,애서,5,8.0832196563209e-07,0.9997993744881302,
898,구려,5,8.0832196563209e-07,0.9998001828100957,
899,셔두,5,8.0832196563209e-07,0.9998009911320613,
900,들,5,8.0832196563209e-07,0.999801799454027,
901,는걸요,5,8.0832196563209e-07,0.9998026077759926,
902,하곤,5,8.0832196563209e-07,0.9998034160979583,
903,우리라,5,8.0832196563209e-07,0.9998042244199239,
904,지어다,5,8.0832196563209e-07,0.9998050327418896,
905,려무나,5,8.0832196563209e-07,0.9998058410638552,
906,한데,5,8.0832196563209e-07,0.9998066493858208,
907,셰,5,8.0832196563209e-07,0.9998074577077865,
908,러서도,5,8.0832196563209e-07,0.999808266029752,
909,러니,5,8.0832196563209e-07,0.9998090743517177,
910,랜다,5,8.0832196563209e-07,0.9998098826736833,
911,아야죠,4,6.46657572505672e-07,0.9998105293312558,
912,래야,4,6.46657572505672e-07,0.9998111759888283,
913,다아,4,6.46657572505672e-07,0.9998118226464009,
914,구먼,4,6.46657572505672e-07,0.9998124693039734,
915,당께,4,6.46657572505672e-07,0.9998131159615459,
916,다면야,4,6.46657572505672e-07,0.9998137626191184,
917,사와,4,6.46657572505672e-07,0.9998144092766909,
918,로썬,4,6.46657572505672e-07,0.9998150559342633,
919,을걸,4,6.46657572505672e-07,0.9998157025918358,
920,냔,4,6.46657572505672e-07,0.9998163492494084,
921,다더군요,4,6.46657572505672e-07,0.9998169959069809,
922,아시,4,6.46657572505672e-07,0.9998176425645534,
923,셨을까,4,6.46657572505672e-07,0.9998182892221259,
924,느뇨,4,6.46657572505672e-07,0.9998189358796984,
925,뭇,4,6.46657572505672e-07,0.9998195825372709,
926,다곤,4,6.46657572505672e-07,0.9998202291948434,
927,느니만,4,6.46657572505672e-07,0.999820875852416,
928,댜,4,6.46657572505672e-07,0.9998215225099885,
929,덜,4,6.46657572505672e-07,0.999822169167561,
930,지언정,4,6.46657572505672e-07,0.9998228158251334,
931,려니까,4,6.46657572505672e-07,0.9998234624827059,
932,을고,4,6.46657572505672e-07,0.9998241091402784,
933,내며,4,6.46657572505672e-07,0.999824755797851,
934,더래요,4,6.46657572505672e-07,0.9998254024554235,
935,혀,4,6.46657572505672e-07,0.999826049112996,
936,끄러,4,6.46657572505672e-07,0.9998266957705685,
937,구서,4,6.46657572505672e-07,0.999827342428141,
938,아가,4,6.46657572505672e-07,0.9998279890857135,
939,는냐,4,6.46657572505672e-07,0.999828635743286,
940,어두,4,6.46657572505672e-07,0.9998292824008586,
941,자거나,4,6.46657572505672e-07,0.999829929058431,
942,으려구요,4,6.46657572505672e-07,0.9998305757160035,
943,어는,4,6.46657572505672e-07,0.999831222373576,
944,는단다,4,6.46657572505672e-07,0.9998318690311485,
945,던지요,4,6.46657572505672e-07,0.999832515688721,
946,는다네,4,6.46657572505672e-07,0.9998331623462935,
947,가니,4,6.46657572505672e-07,0.9998338090038661,
948,니만큼,4,6.46657572505672e-07,0.9998344556614386,
949,자면서,4,6.46657572505672e-07,0.9998351023190111,
950,치고는,4,6.46657572505672e-07,0.9998357489765836,
951,고나,4,6.46657572505672e-07,0.999836395634156,
952,라더군요,4,6.46657572505672e-07,0.9998370422917285,
953,였으되,4,6.46657572505672e-07,0.999837688949301,
