rank,surface,count,share,cum_share,tags
577,라지만,17,2.7387519056477416e-06,0.999246359916787,
578,을래,17,2.7387519056477416e-06,0.9992490986686927,
579,노라고,17,2.7387519056477416e-06,0.9992518374205983,
580,렀을,17,2.7387519056477416e-06,0.999254576172504,
581,라거나,17,2.7387519056477416e-06,0.9992573149244096,
582,렷,17,2.7387519056477416e-06,0.9992600536763153,
583,는대,17,2.7387519056477416e-06,0.9992627924282209,
584,진다,17,2.7387519056477416e-06,0.9992655311801266,
585,라야,17,2.7387519056477416e-06,0.9992682699320322,
586,언,17,2.7387519056477416e-06,0.9992710086839379,
587,얏,17,2.7387519056477416e-06,0.9992737474358435,
588,리요,17,2.7387519056477416e-06,0.9992764861877492,
589,려는지,17,2.7387519056477416e-06,0.9992792249396548,
590,랜,17,2.7387519056477416e-06,0.9992819636915605,
591,이웨,17,2.7387519056477416e-06,0.9992847024434661,
592,다길래,17,2.7387519056477416e-06,0.9992874411953717,
593,아용,17,2.7387519056477416e-06,0.9992901799472774,
594,보더,17,2.7387519056477416e-06,0.999292918699183,
595,간이,17,2.7387519056477416e-06,0.9992956574510887,
596,악,16,2.577648852374345e-06,0.9992982350999411,
597,옥,16,2.577648852374345e-06,0.9993008127487935,
598,더니만,16,2.577648852374345e-06,0.9993033903976458,
599,니아,16,2.577648852374345e-06,0.9993059680464982,
600,감,16,2.577648852374345e-06,0.9993085456953505,
601,냐구요,16,2.577648852374345e-06,0.9993111233442029,
602,라가,16,2.577648852374345e-06,0.9993137009930553,
603,는도다,16,2.577648852374345e-06,0.9993162786419078,
604,죵,16,2.577648852374345e-06,0.9993188562907601,
605,셰,16,2.577648852374345e-06,0.9993214339396125,
606,사옵니다,16,2.577648852374345e-06,0.9993240115884648,
607,으려던,16,2.577648852374345e-06,0.9993265892373172,
608,더랬,16,2.577648852374345e-06,0.9993291668861696,
609,의서,15,2.4165457991009484e-06,0.9993315834319687,
610,어질,15,2.4165457991009484e-06,0.9993339999777677,
611,므로써,15,2.4165457991009484e-06,0.9993364165235669,
612,로구나,15,2.4165457991009484e-06,0.999338833069366,
613,아선,15,2.4165457991009484e-06,0.9993412496151651,
614,여서도,15,2.4165457991009484e-06,0.9993436661609642,
615,무,15,2.4165457991009484e-06,0.9993460827067633,
616,으신지,15,2.4165457991009484e-06,0.9993484992525624,
617,다던가,15,2.4165457991009484e-06,0.9993509157983614,
618,히,15,2.4165457991009484e-06,0.9993533323441606,
619,지니,15,2.4165457991009484e-06,0.9993557488899597,
620,래도,15,2.4165457991009484e-06,0.9993581654357588,
621,다는군요,15,2.4165457991009484e-06,0.9993605819815579,
622,더이다,15,2.4165457991009484e-06,0.999362998527357,
623,수,15,2.4165457991009484e-06,0.9993654150731561,
